time,pi,x_left,y_left,x_right,y_right
1e-06,-4.01727e+12,-0.000522098,-1518.91,-0.395677,-838350
2.1e-06,-nan,-6.5703e+115,-4.3614e+242,-9.6138e+118,-4.56041e+245
3.1e-06,-nan,-nan,-nan,-nan,-nan
4.1e-06,-nan,-nan,-nan,-nan,-nan
5.1e-06,-nan,-nan,-nan,-nan,-nan
6.1e-06,-nan,-nan,-nan,-nan,-nan
7.1e-06,-nan,-nan,-nan,-nan,-nan
8.1e-06,-nan,-nan,-nan,-nan,-nan
9e-06,-nan,-nan,-nan,-nan,-nan
1e-05,-nan,-nan,-nan,-nan,-nan
1.1e-05,-nan,-nan,-nan,-nan,-nan
1.2e-05,-nan,-nan,-nan,-nan,-nan
1.3e-05,-nan,-nan,-nan,-nan,-nan
1.4e-05,-nan,-nan,-nan,-nan,-nan
1.5e-05,-nan,-nan,-nan,-nan,-nan
1.6e-05,-nan,-nan,-nan,-nan,-nan
1.7e-05,-nan,-nan,-nan,-nan,-nan
1.8e-05,-nan,-nan,-nan,-nan,-nan
1.9e-05,-nan,-nan,-nan,-nan,-nan
2e-05,-nan,-nan,-nan,-nan,-nan
2.11e-05,-nan,-nan,-nan,-nan,-nan
2.21e-05,-nan,-nan,-nan,-nan,-nan
2.31e-05,-nan,-nan,-nan,-nan,-nan
2.41e-05,-nan,-nan,-nan,-nan,-nan
2.51e-05,-nan,-nan,-nan,-nan,-nan
2.61e-05,-nan,-nan,-nan,-nan,-nan
2.71e-05,-nan,-nan,-nan,-nan,-nan
2.81e-05,-nan,-nan,-nan,-nan,-nan
2.91e-05,-nan,-nan,-nan,-nan,-nan
3.01e-05,-nan,-nan,-nan,-nan,-nan
3.11e-05,-nan,-nan,-nan,-nan,-nan
3.21e-05,-nan,-nan,-nan,-nan,-nan
3.31e-05,-nan,-nan,-nan,-nan,-nan
3.41e-05,-nan,-nan,-nan,-nan,-nan
3.5e-05,-nan,-nan,-nan,-nan,-nan
3.6e-05,-nan,-nan,-nan,-nan,-nan
3.7e-05,-nan,-nan,-nan,-nan,-nan
3.8e-05,-nan,-nan,-nan,-nan,-nan
3.9e-05,-nan,-nan,-nan,-nan,-nan
4e-05,-nan,-nan,-nan,-nan,-nan
4.1e-05,-nan,-nan,-nan,-nan,-nan
4.2e-05,-nan,-nan,-nan,-nan,-nan
4.3e-05,-nan,-nan,-nan,-nan,-nan
4.4e-05,-nan,-nan,-nan,-nan,-nan
4.5e-05,-nan,-nan,-nan,-nan,-nan
4.6e-05,-nan,-nan,-nan,-nan,-nan
4.7e-05,-nan,-nan,-nan,-nan,-nan
4.8e-05,-nan,-nan,-nan,-nan,-nan
4.9e-05,-nan,-nan,-nan,-nan,-nan
5e-05,-nan,-nan,-nan,-nan,-nan
5.1e-05,-nan,-nan,-nan,-nan,-nan
5.2e-05,-nan,-nan,-nan,-nan,-nan
5.3e-05,-nan,-nan,-nan,-nan,-nan
5.4e-05,-nan,-nan,-nan,-nan,-nan
5.5e-05,-nan,-nan,-nan,-nan,-nan
5.6e-05,-nan,-nan,-nan,-nan,-nan
5.7e-05,-nan,-nan,-nan,-nan,-nan
5.8e-05,-nan,-nan,-nan,-nan,-nan
5.9e-05,-nan,-nan,-nan,-nan,-nan
6e-05,-nan,-nan,-nan,-nan,-nan
6.1e-05,-nan,-nan,-nan,-nan,-nan
6.2e-05,-nan,-nan,-nan,-nan,-nan
6.3e-05,-nan,-nan,-nan,-nan,-nan
6.4e-05,-nan,-nan,-nan,-nan,-nan
6.5e-05,-nan,-nan,-nan,-nan,-nan
6.6e-05,-nan,-nan,-nan,-nan,-nan
6.7e-05,-nan,-nan,-nan,-nan,-nan
6.8e-05,-nan,-nan,-nan,-nan,-nan
6.9e-05,-nan,-nan,-nan,-nan,-nan
7e-05,-nan,-nan,-nan,-nan,-nan
7.1e-05,-nan,-nan,-nan,-nan,-nan
7.2e-05,-nan,-nan,-nan,-nan,-nan
7.3e-05,-nan,-nan,-nan,-nan,-nan
7.4e-05,-nan,-nan,-nan,-nan,-nan
7.5e-05,-nan,-nan,-nan,-nan,-nan
7.6e-05,-nan,-nan,-nan,-nan,-nan
7.7e-05,-nan,-nan,-nan,-nan,-nan
7.8e-05,-nan,-nan,-nan,-nan,-nan
7.9e-05,-nan,-nan,-nan,-nan,-nan
8e-05,-nan,-nan,-nan,-nan,-nan
8.1e-05,-nan,-nan,-nan,-nan,-nan
8.2e-05,-nan,-nan,-nan,-nan,-nan
8.3e-05,-nan,-nan,-nan,-nan,-nan
8.4e-05,-nan,-nan,-nan,-nan,-nan
